8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9
88,89,88,89,88,89,88,89,88,89,88,89,88,89,88,89,88,89,88,89,88,89,88,89
248,249,168,169,168,169,168,169,168,169,168,169,168,169,168,169,168,169,168,169,168,169,248,249
88,89,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,88,89
248,249,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,248,249
88,89,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,88,89
248,249,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,248,249
88,89,0,0,800,801,802,803,1,1,1,0,0,0,0,1,800,801,802,803,1,0,88,89
248,249,0,0,880,881,882,883,1,0,1,0,0,0,0,0,880,881,882,883,1,0,248,249
88,89,0,0,960,961,962,963,1,1,0,1,0,0,1,0,960,961,962,963,0,1,88,89
248,249,0,0,1040,1041,1042,1043,0,1,0,1,0,0,0,0,1040,1041,1042,1043,0,1,248,249
88,89,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,88,89
248,249,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,248,249
88,89,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,88,89
248,249,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,248,249
88,89,0,1,800,801,802,803,0,0,0,0,0,1,0,1,800,801,802,803,0,0,88,89
248,249,1,0,880,881,882,883,0,1,0,0,1,0,0,0,880,881,882,883,0,0,248,249
88,89,0,1,960,961,962,963,0,0,1,1,0,1,0,0,960,961,962,963,1,1,88,89
248,249,1,1,1040,1041,1042,1043,0,0,1,0,1,1,0,1,1040,1041,1042,1043,1,0,248,249
88,89,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,88,89
248,249,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,248,249
88,89,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,88,89
248,249,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,248,249
88,89,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,88,89
248,249,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,248,249
88,89,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,88,89
248,249,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,248,249
88,89,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,88,89
248,249,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,248,249
88,89,88,89,88,89,88,89,88,89,88,89,88,89,88,89,88,89,88,89,88,89,88,89
168,169,168,169,168,169,168,169,168,169,168,169,168,169,168,169,168,169,168,169,168,169,168,169
